count(rowid),Year,Month,is_from_me
2636,2020,05,0
1763,2020,05,1
6369,2020,06,0
4503,2020,06,1
5171,2020,07,0
4349,2020,07,1
3835,2020,08,0
3426,2020,08,1
3747,2020,09,0
3203,2020,09,1
4417,2020,10,0
3736,2020,10,1
5648,2020,11,0
4128,2020,11,1
4084,2020,12,0
3111,2020,12,1
2616,2021,01,0
1806,2021,01,1
2395,2021,02,0
1606,2021,02,1
6041,2021,03,0
4963,2021,03,1
4138,2021,04,0
3422,2021,04,1
3929,2021,05,0
3219,2021,05,1
4481,2021,06,0
3484,2021,06,1
5536,2021,07,0
4342,2021,07,1
4234,2021,08,0
3498,2021,08,1
4731,2021,09,0
2954,2021,09,1
8320,2021,10,0
4516,2021,10,1
7934,2021,11,0
3703,2021,11,1
10118,2021,12,0
5820,2021,12,1
6039,2022,01,0
4299,2022,01,1
6200,2022,02,0
4265,2022,02,1
4512,2022,03,0
3006,2022,03,1
