count(rowid),Year,Month,is_from_me
1599,2016,03,0
1891,2016,03,1
2332,2016,04,0
2815,2016,04,1
2557,2016,05,0
3081,2016,05,1
2774,2016,06,0
3458,2016,06,1
4439,2016,07,0
5449,2016,07,1
3227,2016,08,0
3624,2016,08,1
2232,2016,09,0
2889,2016,09,1
3419,2016,10,0
4245,2016,10,1
3567,2016,11,0
6131,2016,11,1
3417,2016,12,0
4331,2016,12,1
5356,2017,01,0
5917,2017,01,1
1849,2017,02,0
2069,2017,02,1
2905,2017,03,0
3536,2017,03,1
4127,2017,04,0
4839,2017,04,1
4824,2017,05,0
4499,2017,05,1
2525,2017,06,0
2508,2017,06,1
966,2017,07,0
796,2017,07,1
1118,2017,08,0
874,2017,08,1
2457,2017,09,0
2414,2017,09,1
2658,2017,10,0
2727,2017,10,1
2926,2017,11,0
3011,2017,11,1
1880,2017,12,0
2001,2017,12,1
3630,2018,01,0
3814,2018,01,1
3947,2018,02,0
4331,2018,02,1
3226,2018,03,0
3015,2018,03,1
3296,2018,04,0
3310,2018,04,1
5663,2018,05,0
5926,2018,05,1
3429,2018,06,0
3704,2018,06,1
3503,2018,07,0
3364,2018,07,1
2926,2018,08,0
2785,2018,08,1
3311,2018,09,0
3274,2018,09,1
4463,2018,10,0
4399,2018,10,1
3352,2018,11,0
3394,2018,11,1
2962,2018,12,0
2628,2018,12,1
4577,2019,01,0
4297,2019,01,1
3969,2019,02,0
3917,2019,02,1
4425,2019,03,0
3892,2019,03,1
6011,2019,04,0
4809,2019,04,1
5389,2019,05,0
4494,2019,05,1
5174,2019,06,0
4640,2019,06,1
4707,2019,07,0
4055,2019,07,1
4999,2019,08,0
3760,2019,08,1
18742,2019,09,0
7257,2019,09,1
10290,2019,10,0
5108,2019,10,1
5336,2019,11,0
3988,2019,11,1
5107,2019,12,0
3835,2019,12,1
5882,2020,01,0
4384,2020,01,1
5420,2020,02,0
4286,2020,02,1
5170,2020,03,0
4038,2020,03,1
6609,2020,04,0
4299,2020,04,1
4452,2020,05,0
2866,2020,05,1
6620,2020,06,0
4558,2020,06,1
4263,2020,07,0
3301,2020,07,1
4168,2020,08,0
3680,2020,08,1
1775,2020,09,0
1435,2020,09,1
